,tweet_tokens_WSW
0,"['produk', 'bangsa']"
1,"['saktinya', 'alhamdulillah']"
2,"['selamat', 'pagi', 'bantu', 'kamar', 'sinyal', 'hilang', 'panggilan', 'darurat', 'url']"
3,"['dear', 'jaringan', 'data', 'lemot', 'banget']"
4,"['selamat', 'malam', 'pendusta']"
5,"['penembakan', 'paket', 'productname', 'gangguan']"
6,"['pakai', 'paket', 'productname', 'udah', 'off', 'gantinya', 'paket', 'productname', 'gratisan', 'youtube', 'senang', 'banget']"
7,"['kamus', 'perhapean', 'url']"
8,"['keluhan', 'ditanggapi', 'emosi', 'pulsaku', 'dicuri', 'soak', 'deh', 'pulsa', 'berkurang']"
9,"['iklan', 'pesan', 'tersembunyi', 'url']"
10,"['mampus', 'puasa', 'subuh', 'sahur', 'cek', 'pulsa', 'tersedot', 'sisa', 'ribu', 'tolong', 'dibaca']"
11,"['coba', 'pakai', 'parah', 'koneksinya']"
12,"['setuju', 'silahkan', 'boikot', 'pelanggan', 'pendukung', 'url']"
13,"['dibela', 'belain', 'daftarin', 'kartu', 'tunggu', 'sejam', 'siang', 'puasa', 'rumah', 'sinyal', 'gnya', 'kota']"
14,"['datanya', 'hilang']"
15,"['sesuai', 'iklan']"
16,"['kangen', 'kiriman', 'pos', 'marchandes', 'langsung', 'pos']"
17,"['mbps', 'kecepatanya', 'kbps', 'kuota', 'full', 'buka', 'google', 'udah', 'nguras', 'uang', 'baterai', 'url']"
18,"['kuota', 'koneksi', 'internetnya', 'lambat', 'banget', 'productname', 'url']"
19,"['ampun', 'sinyal', 'lemot', 'siput', 'acara', 'live', 'streaming', 'terganggu', 'mundur']"
20,"['jaringan', 'nabire', 'bagus', 'berita', 'hoax']"
21,"['jelek', 'jaringan', 'takalar']"
22,"['stabil', 'url']"
23,"['cocok', 'komunikasi', 'keluarga', 'rekan', 'bisnis', 'kerja', 'sekolah', 'kampus', 'hubungan', 'jarak']"
24,"['kualitas', 'provider', 'gangguan', 'trouble', 'mahal', 'berhari', 'url']"
25,"['productname', 'sinyalnya', 'tai']"
26,"['jaringan', 'internet', 'sumba', 'timur', 'parah']"
27,"['ajaib', 'kuota', 'hilang', 'usage', 'bukti', 'penggunaan', 'melebihi', 'batas', 'url']"
28,"['bertahun', 'pakai', 'aktif', 'bayar', 'pelayanan', 'memuaskan']"
29,"['cepat', 'banget', 'data', 'habis', 'url']"
30,"['tolol', 'namanya', 'provider', 'urusan', 'chat', 'app']"
31,"['tinggal', 'url']"
32,"['hore', 'sinyal', 'sambu']"
33,"['alhamdulilah', 'dikunjungi', 'vendor', 'mitra', 'url']"
34,"['terlambat', 'productname', 'jaringan', 'lemot']"
35,"['tega', 'pesan', 'suka', 'telat']"
36,"['jaringan', 'kecepatan']"
37,"['paket', 'extra', 'combo', 'lemot']"
38,"['buka', 'facebook']"
39,"['rugi', 'isi', 'kuota', 'jaringannya', 'busuk', 'banget', 'dirugikan']"
40,"['solidaritas', 'perasaan', 'solidaritas', 'ngomong']"
41,"['berbagi', 'kuota', 'berkah']"
42,"['berkah', 'video', 'ngabuburit', 'anak', 'video', 'sahur', 'keluarga', 'video', 'pakai', 'baju', 'koko']"
43,"['koneksi', 'daerah', 'kota', 'seminggu', 'lemot', 'parah', 'gangguan', 'kah', 'providernamecare']"
44,"['pakai', 'greget', 'network', 'and', 'speed', 'irit', 'anak', 'kere']"
45,"['kartu', 'mahal', 'bagus']"
46,"['berbagi', 'berkah']"
47,"['isi', 'kuota', 'menit', 'langsung', 'habis', 'kacau', 'url']"
48,"['sinyalmu', 'jelek', 'banget']"
49,"['pergerakan', 'masif', 'pki', 'anteknya', 'iklan', 'mari', 'hancurkan', 'pki']"
50,"['alhamdulillah', 'menari', 'tabuhan', 'gendang', 'orang', 'selamat', 'isya', 'tarawih']"
51,"['diganti', 'pulsaku', 'udah', 'komplain', 'php']"
52,['sinyalmu']
53,"['musuh', 'ulama', 'url']"
54,['pakai']
55,"['benci', 'kelakuan', 'pendukung', 'coba', 'lihat', 'iklan', 'gambar', 'palu', 'arit']"
56,"['ht', 'noh', 'pakek', 'gimana', 'thu']"
57,"['kuota', 'digabung', 'sayang', 'terpakai', 'mubazir', 'mubazir', 'temennya', 'setan', 'lho']"
58,"['rejeki', 'pejet', 'semoga', 'samsung', 'jproductname', 'medan', 'indonesia', 'url']"
59,"['asik', 'kencang', 'url']"
60,"['beli', 'paket', 'jaringan', 'internetnya', 'edge']"
61,['lemot']
62,"['nelepon', 'pulsa', 'menit', 'bangsatprovidernameurl']"
63,"['signal', 'bekasi', 'internetan', 'subuh']"
64,"['tarif', 'internet', 'super', 'kuota', 'negara', 'internet', 'murah', 'mahal']"
65,"['jaringan', 'sinyal', 'wilayah', 'sindangkasih', 'ciamis']"
66,"['terimakasih', 'menang', 'pointastic', 'deal', 'url']"
67,"['nomer', 'dibuang']"
68,"['dizalimi', 'url']"
69,"['mantap', 'url']"
70,"['sinyal', 'jelek', 'komplain', 'direspon', 'url']"
71,"['alhamdulillah', 'kartu', 'telpon', 'kartu', 'internetan', 'pakai']"
72,"['bentuk', 'tekanan', 'masyarakat', 'perusahaan', 'publik', 'sekelas', 'berhatihati', 'depannya', 'url']"
73,"['alhamdulillah', 'pakai']"
74,"['memimpikan', 'pakai', 'mimpi', 'setia', 'mahal', 'ikutan']"
75,"['aksi', 'pakai', 'bagus', 'maaf', 'iklan', 'kenyataan']"
76,"['terbaik', 'peserta', 'url']"
77,"['teman', 'sehari', 'url']"
78,"['jelek', 'banget', 'sinyalnya']"
79,"['sydney', 'program', 'gratis', 'mahasiswa', 'belajar', 'dn', 'liburan', 'hacker', 'intropeksi']"
80,"['internet', 'mahal', 'turunkan', 'harga', 'paket']"
81,"['pakai', 'pakai', 'merasakan', 'providernamelemot', 'providernamemahal', 'dibarengi', 'kualitas']"
82,"['webnya', 'dibajak', 'cie', 'dibajak', 'semoga', 'habis', 'paket', 'spam', 'promonya', 'subur']"
83,"['cs', 'emang', 'fast', 'response', 'keluhan', 'konsumen', 'beda', 'operator', 'sebelah']"
84,"['prinsip', 'murah', 'sinyal', 'alhamdulillah', 'kencang', 'kota']"
85,['terbaik']
86,['paketan']
87,"['mantap', 'sumedang']"
88,"['kesini', 'mahal', 'jaringannya', 'lelet', 'pesan', 'masukku', 'penuh', 'isinya', 'pesan', 'promo', 'nyedot', 'pulsa']"
89,"['tolong', 'kensinya', 'benerin', 'wilayah', 'keramat', 'jati', 'lemot', 'productname']"
90,"['sinyal', 'kuat', 'internetku', 'jakarta', 'lemot', 'parah', 'provider']"
91,"['keamanan', 'ditingkatkan', 'rugi', 'pelanggan', 'url']"
92,"['harga', 'jual', 'rupiah', 'kilobyte', 'internet', 'juara', 'mahalnya', 'tsel', 'vs']"
93,"['jaringan', 'sembungan', 'bangunjiwo', 'kasihan', 'bantul', 'minggu', 'stabil', 'kuota', 'terbuang']"
94,"['customer', 'sembungan', 'bangunjiwo', 'jogja', 'stabil']"
95,"['sinyal', 'ping', 'game', 'segede', 'sinyalnya', 'tai']"
96,[]
97,"['malas', 'banget', 'gb', 'gb', 'harga', 'mahalnya', 'jaringannya', 'free', 'youtubenya', 'terpakai', 'jamnya', 'hadeh']"
98,"['gratisan', 'menyenangkan', 'productname', 'productname', 'url']"
99,"['pindah', 'provider', 'kali', 'internetan', 'lemot', 'dengar', 'teman', 'bagus']"
100,"['tolong', 'lakukan', 'reset', 'nomor', 'jaringan', 'lemah', 'memakan', 'open', 'page', 'web']"
101,"['kekinian', 'keki']"
102,"['kecepatan', 'internet', 'ciwidey', 'segini', 'mantap', 'url']"
103,"['jaringan', 'cimahi', 'lambat', 'kota', 'bandung', 'lancar', 'jaya']"
104,['parah']
105,"['koneksi', 'gprs']"
106,"['akses', 'data', 'kecamatan', 'cisewu', 'kabupaten', 'garut']"
107,"['providernameglte', 'url', 'udah', 'tanggapan']"
108,"['direkomendasikan', 'coba', 'paket', 'mingguan', 'tes', 'pakai', 'twitter', 'menit', 'pulsa', 'berkurang', 'langsung', 'unreg']"
109,"['nonton', 'gratis', 'dibayarin', 'poin', 'providernamepoin']"
110,"['pakai', 'alhamdulillah', 'bermanfaat', 'sinyalnya']"
111,"['terimakasih', 'url']"
112,"['mantap', 'sms', 'tarifnya']"
113,"['alhamdulillah', 'beres', 'pakai', 'nunggu', 'konfirmasi', 'url']"
114,"['terimakasih', 'menang', 'productname', 'productname']"
115,"['asik', 'kencang']"
116,"['terimakasih', 'gratis', 'gnya', 'ayo', 'buruan', 'upgrade', 'productname']"
117,"['upload', 'video', 'gb', 'menit', 'mantab', 'kecepatan']"
118,"['bonus', 'kuota', 'gb', 'menit', 'nelpon', 'operator', 'productname', 'url']"
119,"['kuota', 'aman', 'kota', 'mamuju', 'url']"
120,['hemat']
121,"['pakai', 'paket', 'productname', 'irit', 'url']"
122,"['dibuang', 'sayang', 'setia', 'lagipula', 'nomernya', 'bagus', 'url']"
123,"['merasakan', 'segitu', 'besarnya', 'ping', 'ribu', 'lumayanlah', 'bukber']"
124,"['nulis', 'disertai', 'hashtag', 'providernamelemot', 'hidupnya', 'dimana', 'ungaran', 'pakai', 'lancar']"
125,"['pakai', 'ribu', 'dapet', 'giga', 'providernamedihack', 'providernamemahal']"
